fpr,tpr,thresholds
0.0,0.0,1.9999979
0.0,0.010526315789473684,0.99999785
0.0,0.3473684210526316,0.99888307
0.0023584905660377358,0.3473684210526316,0.9988494
0.0023584905660377358,0.7263157894736842,0.9652645
0.007075471698113208,0.7263157894736842,0.96329355
0.007075471698113208,0.8315789473684211,0.8665802
0.009433962264150943,0.8315789473684211,0.8428589
0.009433962264150943,0.9157894736842105,0.6276653
0.014150943396226415,0.9157894736842105,0.6104246
0.014150943396226415,0.9473684210526315,0.5657645
0.02122641509433962,0.9473684210526315,0.29398504
0.02122641509433962,0.9789473684210527,0.2170304
0.08254716981132075,0.9789473684210527,0.012058289
0.08254716981132075,0.9894736842105263,0.011898975
0.41745283018867924,0.9894736842105263,0.00063160557
0.41745283018867924,1.0,0.0006299675
1.0,1.0,1.1333584e-06
