fpr,tpr,thresholds
0.0,0.0,2.0
0.0,0.031578947368421054,1.0
0.0,0.5578947368421052,0.9981192
0.0047169811320754715,0.5578947368421052,0.9980951
0.0047169811320754715,0.5894736842105263,0.99713326
0.007075471698113208,0.5894736842105263,0.99685967
0.007075471698113208,0.6,0.9963883
0.009433962264150943,0.6,0.995989
0.009433962264150943,0.6842105263157895,0.9892105
0.01179245283018868,0.6842105263157895,0.98904175
0.01179245283018868,0.7368421052631579,0.97217023
0.014150943396226415,0.7368421052631579,0.9508644
0.014150943396226415,0.7789473684210526,0.92540973
0.01650943396226415,0.7789473684210526,0.92182153
0.01650943396226415,0.9052631578947369,0.7063705
0.018867924528301886,0.9052631578947369,0.69571483
0.018867924528301886,0.9157894736842105,0.53739834
0.02358490566037736,0.9157894736842105,0.43870768
0.02358490566037736,0.9368421052631579,0.4034866
0.025943396226415096,0.9368421052631579,0.3701611
0.025943396226415096,0.9578947368421052,0.3100934
0.03537735849056604,0.9578947368421052,0.081857756
0.03537735849056604,0.968421052631579,0.05432293
0.0589622641509434,0.968421052631579,0.030433174
0.0589622641509434,0.9789473684210527,0.023656249
0.11084905660377359,0.9789473684210527,0.0053122384
0.11084905660377359,1.0,0.004904175
1.0,1.0,4.2869633e-06
