fpr,tpr,thresholds
0.0,0.0,1.9999985
0.0,0.010526315789473684,0.99999845
0.0,0.25263157894736843,0.99807537
0.0047169811320754715,0.25263157894736843,0.9977456
0.0047169811320754715,0.35789473684210527,0.99533695
0.007075471698113208,0.35789473684210527,0.99501
0.007075471698113208,0.4842105263157895,0.98966354
0.009433962264150943,0.4842105263157895,0.98874426
0.009433962264150943,0.5473684210526316,0.98222935
0.01179245283018868,0.5473684210526316,0.97546244
0.01179245283018868,0.6105263157894737,0.9679985
0.014150943396226415,0.6105263157894737,0.9679739
0.014150943396226415,0.7157894736842105,0.90015584
0.0330188679245283,0.7157894736842105,0.84464484
0.0330188679245283,0.7263157894736842,0.83678484
0.03537735849056604,0.7263157894736842,0.83309007
0.03537735849056604,0.7368421052631579,0.83248174
0.04481132075471698,0.7368421052631579,0.7732394
0.04481132075471698,0.7578947368421053,0.7597768
0.04716981132075472,0.7578947368421053,0.7326558
0.04716981132075472,0.7789473684210526,0.6891555
0.05188679245283019,0.7789473684210526,0.63678795
0.05188679245283019,0.7894736842105263,0.6119378
0.05660377358490566,0.7894736842105263,0.5371806
0.05660377358490566,0.8,0.5358709
0.0660377358490566,0.8,0.45579895
0.0660377358490566,0.8105263157894737,0.44586453
0.08018867924528301,0.8105263157894737,0.4001802
0.08018867924528301,0.8315789473684211,0.3345106
0.08254716981132075,0.8315789473684211,0.31477788
0.08254716981132075,0.8421052631578947,0.3065215
0.09905660377358491,0.8421052631578947,0.26453522
0.09905660377358491,0.8526315789473684,0.26216686
0.10141509433962265,0.8526315789473684,0.2493278
0.10141509433962265,0.8631578947368421,0.24137264
0.13679245283018868,0.8631578947368421,0.13568774
0.13679245283018868,0.8842105263157894,0.12474072
0.14858490566037735,0.8842105263157894,0.11963256
0.14858490566037735,0.8947368421052632,0.113616444
0.16273584905660377,0.8947368421052632,0.08466876
0.16273584905660377,0.9052631578947369,0.08013642
0.24764150943396226,0.9052631578947369,0.03958893
0.24764150943396226,0.9157894736842105,0.0391145
0.3089622641509434,0.9157894736842105,0.020529186
0.3089622641509434,0.9263157894736842,0.020199433
0.3113207547169811,0.9263157894736842,0.019350622
0.3113207547169811,0.9368421052631579,0.019081196
0.32547169811320753,0.9368421052631579,0.016885359
0.32547169811320753,0.9473684210526315,0.016777474
0.3632075471698113,0.9473684210526315,0.013529673
0.3632075471698113,0.9578947368421052,0.01352849
0.4363207547169811,0.9578947368421052,0.009001424
0.4363207547169811,0.968421052631579,0.008968759
0.4386792452830189,0.968421052631579,0.00886435
0.4386792452830189,0.9789473684210527,0.008702543
0.5377358490566038,0.9789473684210527,0.0045838514
0.5377358490566038,0.9894736842105263,0.0045833336
0.714622641509434,0.9894736842105263,0.0016255539
0.714622641509434,1.0,0.0015453165
1.0,1.0,1.5198046e-05
